江西频道,#genre#
江西卫视,rtsp://115.153.254.81:554/PLTV/88888888/224/3221225557/iptv7969.smil
江西都市频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226728/53707442.smil
江西经济生活,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226717/53707446.smil
江西影视旅游,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226704/53213102.smil
江西公共农业,rtsp://115.153.254.81:554/PLTV/88888888/224/3221227066/95315400.smil
江西少儿,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226724/53707450.smil
江西新闻,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226654/53213094.smil
江西教育,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226568/10000100000000060000000002002624_0.smil


江西卫视,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226961/10000100000000060000000000543478_0.smil
江西都市频道,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227290/10000100000000060000000001722654_0.smil
江西经济生活,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227092/10000100000000060000000000610996_0.smil
江西影视旅游,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227287/10000100000000060000000001899760_0.smil
江西公共农业,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226948/10000100000000060000000000527279_0.smil
江西少儿,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227089/10000100000000060000000000582672_0.smil
江西新闻,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227051/10000100000000060000000000571126_0.smil
江西移动,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227285/10000100000000060000000001842697_0.smil
江西教育,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227283/10000100000000060000000001741171_0.smil


江西卫视,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226656/46275837.smil
江西都市频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.254.81:554/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226708/53213097.smil

江西新闻,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226650/53190437.smil
