江西频道,#genre#
江西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil
江西二套都市频道,rtsp://115.153.245.70/PLTV/88888888/224/3221227069/94448631.smil
江西三套经济生活,rtsp://115.153.245.70/PLTV/88888888/224/3221226946/70055407.smil
江西四套影视旅游,rtsp://115.153.245.70/PLTV/88888888/224/3221227071/98779894.smil
江西五套公共农业,rtsp://115.153.245.70/PLTV/88888888/224/3221226708/53213097.smil
江西七套新闻频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226650/53190437.smil
江西移动电视频道,rtsp://115.153.245.70/PLTV/88888888/224/3221227070/96801473.smil
江西风尚购物,rtsp://115.153.245.70/PLTV/88888888/224/3221227049/90141188.smil
江西教育频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226942/69552502.smil

江西卫视,rtsp://115.153.254.81:554/PLTV/88888888/224/3221225557/iptv7969.smil
江西二套都市频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226728/53707442.smil
江西三套经济生活,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226717/53707446.smil
江西四套影视旅游,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226704/53213102.smil
江西五套公共农业,rtsp://115.153.254.81:554/PLTV/88888888/224/3221227066/95315400.smil
江西六套少儿频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226724/53707450.smil
江西七套新闻频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226654/53213094.smil
江西教育频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226568/10000100000000060000000002002624_0.smil

江西卫视,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226656/46275837.smil
江西二套都市频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221227069/94448631.smil
江西三套经济生活,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226946/70055407.smil
江西四套影视旅游,rtsp://115.153.254.81:554/PLTV/88888888/224/3221227071/98779894.smil
江西五套公共农业,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226708/53213097.smil

江西七套新闻频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226650/53190437.smil
江西教育频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221226942/69552502.smil
江西移动电视频道,rtsp://115.153.254.81:554/PLTV/88888888/224/3221227070/96801473.smil

江西卫视,http://live.aishang.ctlcdn.com/00000110240398_1/encoder/0/2023120615/1101726697_340369797_4520000000.ts

南昌新闻综合,http://live.cooltv.top/tv/nctv.php?id=1
南昌文旅频道,http://live.cooltv.top/tv/nctv.php?id=2
南昌资讯频道,http://live.cooltv.top/tv/nctv.php?id=3

吉安综合频道,http://stream.ijatv.com/jatv1/playlist.m3u8?_upt=efccfa751702614100
吉安综合频道,http://stream.ijatv.com/jatv1/hd/live.m3u8?_upt=cedae6cd1702614097
